date,Atlanta,Boston,Chicago,Cleveland,Dallas,KC,Minneapolis,National,NY,Philadelphia,Richmond,SF,SL,Consensus
1970-05,-0.48571429,-0.625,-0.38636364,-0.43478261,-0.11764706,-0.23333333,-0.32432432,-0.66666667,-0.13636364,-0.34482759,-0.30769231,-0.21621622,-0.73684211,-0.36242559
1970-06,-0.4,-0.13888889,-0.51162791,-0.41935484,-0.475,0.12121212,-0.53125,-0.4,-0.63157895,-0.55,-0.57575758,-0.47826087,0.08571429,-0.37539939
1970-07,-0.125,-0.12,-0.35,-0.37037037,0.07407407,-0.25714286,-0.51515152,-0.35135135,-0.12903226,-0.25,-0.46875,-0.48387097,-0.46428571,-0.28829413
1970-08,-0.29032258,0.04347826,-0.27586207,-0.24137931,-0.35714286,-0.45,-0.39473684,-0.48275862,-0.27272727,-0.47368421,-0.1,-0.44,-0.48275862,-0.31126129
1970-09,-0.31034483,-0.03030303,-0.26086957,-0.25,0.05405405,0.10714286,-0.4516129,-0.30769231,-0.03703704,-0.47368421,-0.03225806,-0.13513514,-0.23333333,-0.1711151
1970-10,-0.57692308,-0.07692308,-0.36111111,0.0,0.08695652,-0.26829268,-0.375,-0.48780488,-0.36666667,-0.4375,-0.10714286,-0.17142857,-0.2962963,-0.24586065
1970-11,-0.30555556,-0.06976744,-0.20454545,-0.51724138,-0.25806452,-0.35294118,-0.5,-0.58064516,-0.47826087,-0.4,-0.25,-0.25714286,-0.35294118,-0.3288717
1970-12,-0.17777778,-0.33333333,-0.34146341,0.125,0.18181818,0.29166667,-0.32142857,-0.59459459,-0.08333333,-0.35555556,-0.2,-0.19444444,-0.42857143,-0.15311858
1971-01,-0.125,,-0.17948718,0.08333333,0.04545455,-0.17948718,-0.37931034,-0.1,-0.25,-0.20588235,-0.07407407,-0.16216216,-0.09090909,-0.13795677
1971-02,-0.2173913,-0.04761905,-0.125,0.0,-0.125,0.26666667,-0.375,-0.44736842,-0.13043478,0.125,-0.35714286,-0.0952381,0.13333333,-0.07898551
1971-03,-0.29166667,-0.46666667,-0.05405405,-0.03225806,-0.2,0.0,-0.11538462,-0.44444444,-0.17241379,-0.48387097,0.47826087,-0.17647059,0.07407407,-0.12003754
1971-04,-0.07692308,-0.2,-0.32432432,-0.20833333,-0.37037037,-0.05405405,0.16129032,-0.5,-0.61904762,-0.34375,0.03448276,-0.15,-0.16129032,-0.19269333
1971-05,-0.06976744,0.14285714,-0.10416667,0.0,-0.03225806,0.1509434,0.13043478,0.19354839,-0.125,0.08108108,0.29166667,-0.03030303,0.3125,0.06233232
1971-06,0.05405405,-0.08695652,-0.14285714,-0.33333333,0.08333333,0.28571429,0.13043478,0.23333333,-0.08333333,0.03030303,0.14814815,-0.02631579,0.22580645,0.02374983
1971-07,-0.02439024,-0.16216216,0.0,-0.46153846,0.0,0.125,-0.09375,-0.03846154,-0.5,-0.38709677,0.2,0.0,0.33333333,-0.08088369
1971-08,-0.22857143,-0.04255319,0.05,-0.44,0.34482759,-0.35897436,-0.13636364,-0.28,-0.47619048,-0.35294118,0.03703704,-0.17948718,-0.03703704,-0.15168782
1971-09,0.41025641,-0.02777778,0.05405405,0.0,-0.03030303,0.0,0.11538462,0.18518519,0.04347826,0.16,0.30434783,0.23076923,0.36,0.13501747
1971-10,-0.06666667,-0.02702703,-0.23076923,-0.23529412,0.37142857,-0.21621622,0.15625,-0.13888889,0.15,-0.32,0.25,0.25,0.4137931,0.04129153
1971-11,-0.03333333,-0.38461538,-0.2,-0.22222222,0.12903226,-0.07692308,0.24,-0.15625,-0.2173913,0.22222222,-0.39285714,-0.03225806,0.03333333,-0.07791773
1971-12,0.03571429,-0.02439024,0.07317073,-0.57142857,0.11428571,0.21052632,0.30434783,-0.225,-0.11111111,0.07407407,0.08,0.03333333,-0.12820513,0.00752644
1972-02,0.05405405,-0.05263158,0.14,0.0,-0.12195122,0.16216216,0.19444444,-0.1,-0.17857143,0.18181818,0.23076923,0.19354839,0.21212121,0.08464695
1972-03,0.23333333,0.0,-0.09090909,0.03571429,0.48780488,0.51428571,0.0,0.10714286,0.13793103,0.3030303,0.23809524,0.03030303,0.11764706,0.16726965
1972-04,0.30434783,0.03571429,0.26470588,0.37037037,0.32258065,0.54285714,0.15625,0.34545455,-0.17647059,0.76923077,0.2962963,0.36111111,0.12121212,0.28068382
1972-05,-0.02631579,-0.14285714,0.17391304,-0.27272727,0.45714286,0.70967742,0.35714286,-0.22580645,0.34482759,0.63636364,0.24137931,0.03125,0.17241379,0.22351752
1972-06,0.09375,0.18518519,-0.02857143,0.44444444,0.32432432,0.24324324,0.05405405,0.40816327,-0.29032258,0.34482759,0.38461538,0.11111111,0.51724138,0.19865856
1972-07,0.32142857,0.15625,0.1,0.14814815,0.4,0.25,-0.16666667,0.16666667,-0.27272727,0.17241379,0.2,0.22857143,0.14285714,0.14002293
1972-08,-0.25,-0.10526316,0.26829268,0.11764706,0.30232558,0.37837838,0.21621622,0.15217391,0.04761905,0.16129032,0.34615385,0.2173913,0.34375,0.17031677
1972-09,0.15,-0.04545455,0.05,0.25,0.08571429,0.16216216,0.65517241,0.4,0.12903226,0.37037037,0.18518519,0.3125,0.15625,0.20507768
1972-10,-0.19354839,-0.05128205,0.18181818,-0.11111111,0.42424242,0.18421053,0.48275862,0.39285714,0.08695652,0.33333333,0.48,0.5625,-0.06451613,0.19294683
1972-11,-0.19444444,-0.03846154,0.03773585,0.41666667,0.46153846,0.38888889,0.02941176,0.25581395,0.0952381,0.11111111,0.30769231,-0.22580645,0.17857143,0.13067851
1972-12,-0.06122449,-0.075,-0.21052632,0.20512821,0.35714286,0.2,0.29032258,0.30232558,0.12,0.11538462,0.48148148,0.26666667,0.08571429,0.14792416
1973-01,0.16666667,-0.32,-0.09756098,0.17142857,0.35,-0.10344828,-0.32142857,0.31034483,0.2,0.31428571,0.55555556,0.16666667,0.1875,0.10580545
1973-02,-0.17391304,-0.11764706,-0.15217391,0.0,-0.03846154,0.23809524,-0.16,0.12244898,-0.04347826,0.46875,0.37931034,-0.08333333,0.31428571,0.05261951
1973-03,-0.02941176,-0.13157895,-0.04761905,0.15625,0.4,-0.08108108,-0.3,-0.1,-0.31034483,0.4516129,0.5,0.12903226,0.02777778,0.06371977
1973-04,-0.22857143,-0.16666667,-0.2745098,-0.28571429,0.05405405,-0.15555556,-0.08823529,-0.36666667,-0.12903226,0.25806452,0.46666667,-0.13793103,0.12903226,-0.04653324
1973-05,0.0,-0.36111111,-0.08163265,-0.26086957,0.28571429,-0.37931034,-0.2972973,0.0,-0.22857143,0.33333333,0.4137931,-0.11764706,-0.03571429,-0.06077609
1973-06,-0.29545455,-0.29032258,-0.47222222,-0.46428571,0.0,-0.06666667,-0.15384615,-0.18181818,-0.25925926,0.26923077,0.13793103,0.0625,-0.22222222,-0.14621813
1973-07,-0.07894737,-0.39393939,-0.4,-0.18518519,0.19047619,-0.41304348,-0.04651163,-0.38636364,-0.47826087,-0.1,0.16666667,-0.61111111,-0.55882353,-0.24238998
1973-08,-0.03125,-0.24324324,-0.0212766,-0.19512195,-0.05882353,-0.39130435,0.03571429,-0.07142857,-0.5483871,0.12903226,0.17241379,-0.39393939,-0.11764706,-0.13865274
1973-09,-0.19047619,-0.18604651,-0.13953488,-0.24242424,0.08571429,-0.30952381,0.04,-0.34210526,-0.44827586,0.10344828,0.24137931,-0.08333333,0.06666667,-0.08853386
1973-10,-0.20408163,-0.08510638,-0.2195122,-0.33333333,0.21428571,-0.34146341,0.28947368,-0.14942529,-0.44,0.10344828,-0.3030303,-0.35897436,-0.4,-0.17319116
1973-11,-0.52173913,-0.44117647,-0.12820513,-0.55172414,-0.18518519,-0.27906977,-0.1875,-0.22857143,-0.54166667,-0.1,-0.05882353,-0.14285714,-0.15625,-0.27451643
1973-12,-0.56410256,-0.34375,-0.07692308,-0.33333333,-0.2962963,-0.35897436,-0.27777778,-0.23684211,-0.55172414,0.0,-0.27586207,-0.32352941,-0.30769231,-0.30916378
1974-01,-0.31111111,-0.38095238,-0.37837838,-0.15,-0.5,-0.05882353,-0.21875,-0.25925926,-0.34615385,0.0,-0.39130435,-0.26315789,-0.30434783,-0.27524828
1974-02,-0.45833333,-0.38461538,-0.425,-0.30555556,-0.27272727,0.075,-0.31578947,-0.19230769,-0.5,-0.17647059,-0.28571429,-0.175,-0.19230769,-0.28470947
1974-03,-0.68292683,-0.11764706,-0.24390244,-0.38709677,0.28571429,-0.10810811,-0.12903226,0.0,-0.06451613,-0.37931034,-0.32258065,-0.31578947,0.03571429,-0.20245679
1974-04,-0.125,-0.11764706,-0.35294118,-0.5,-0.53571429,-0.13157895,0.03225806,-0.11904762,0.33333333,0.02941176,0.19444444,0.02325581,-0.09375,-0.10366067
1974-05,0.07272727,-0.30769231,-0.14285714,-0.20754717,-0.35897436,-0.4,-0.31034483,-0.33333333,0.0,0.06896552,-0.28205128,-0.15384615,-0.07407407,-0.17464121
1974-06,-0.41509434,-0.30555556,-0.21276596,-0.16666667,-0.42857143,-0.225,-0.16216216,-0.32653061,-0.56,0.13793103,-0.43333333,-0.25,-0.32692308,-0.27901179
1974-07,-0.07017544,-0.22222222,-0.19565217,-0.15686275,-0.45714286,-0.27272727,-0.17948718,-0.39215686,-0.52,-0.25,-0.21052632,-0.07692308,-0.08,-0.22430994
1974-08,0.21153846,-0.44444444,-0.4,-0.23255814,0.02857143,-0.4,-0.19444444,-0.34482759,-0.33333333,-0.5,-0.45238095,-0.13043478,-0.125,-0.24770718
1974-09,-0.14705882,-0.34090909,-0.33333333,-0.44680851,-0.21428571,-0.15,-0.10810811,-0.57894737,-0.35483871,0.39393939,-0.25714286,-0.375,-0.11764706,-0.20426607
1974-10,-0.26190476,-0.42857143,-0.63157895,-0.09302326,-0.21052632,-0.13333333,-0.18604651,-0.6,-0.2173913,-0.11111111,-0.79069767,-0.325,-0.15384615,-0.29525257
1974-11,-0.35714286,-0.3030303,-0.58139535,-0.4893617,-0.13513514,-0.18,-0.33333333,-0.50877193,-0.56,-0.48387097,-0.40540541,-0.28571429,-0.60869565,-0.39359042
1974-12,-0.36363636,-0.30769231,-0.54545455,-0.59090909,-0.525,-0.4,-0.24324324,-0.3,-0.53571429,-0.4,-0.41463415,-0.34375,-0.48387097,-0.42949208
1975-01,-0.00990099,-0.34693878,-0.25454545,-0.5625,-0.21875,0.20454545,-0.32352941,-0.65517241,-0.36666667,-0.58823529,-0.5,-0.4,-0.30952381,-0.30633708
1975-02,0.125,-0.3442623,-0.43902439,-0.47272727,-0.3125,-0.3030303,-0.19148936,-0.36842105,-0.5,-0.52941176,-0.41860465,-0.15151515,-0.32142857,-0.32158281
1975-03,-0.35087719,-0.09259259,-0.38297872,-0.31914894,0.08333333,-0.20930233,0.07894737,-0.08823529,-0.44736842,0.02777778,-0.39473684,-0.04,-0.36842105,-0.20128063
1975-04,-0.046875,-0.39215686,-0.18518519,-0.37037037,-0.47727273,-0.38235294,-0.12121212,-0.15384615,-0.05128205,-0.46153846,-0.3255814,-0.2,-0.08108108,-0.25790902
1975-05,-0.16,-0.24,-0.31914894,-0.11764706,-0.25581395,-0.09756098,0.14285714,-0.44444444,-0.38095238,-0.2972973,0.09302326,-0.22580645,-0.23333333,-0.17430667
1975-06,0.02,0.06818182,-0.30952381,0.0,-0.38297872,0.0,0.08571429,0.0,-0.07692308,0.13333333,-0.14634146,-0.26470588,0.11428571,-0.06324648
1975-07,0.22413793,0.02272727,-0.40425532,-0.18367347,-0.2826087,-0.02564103,0.24242424,-0.1627907,-0.4516129,0.07142857,0.0,-0.19354839,0.4137931,-0.04723572
1975-08,0.13207547,-0.22,-0.425,-0.09803922,-0.07692308,-0.09302326,0.28,-0.10526316,0.10344828,-0.04255319,0.15555556,-0.225,0.21212121,-0.02477819
1975-09,-0.06818182,-0.16666667,0.1627907,0.01851852,-0.0952381,-0.30769231,0.16129032,-0.17021277,-0.05555556,0.19607843,0.02272727,-0.57692308,0.2,-0.04240436
1975-10,-0.34,-0.2,-0.24489796,-0.05263158,0.28888889,-0.09090909,0.14285714,-0.44444444,-0.32258065,0.33333333,-0.09302326,-0.08571429,0.18181818,-0.04023827
